tweet.date,tweet.id,tweet.rawContent,tweet.user.username,tweet.likeCount,tweet.retweetCount
2023-02-18 15:29:53+00:00,1.62697E+18,"Mukendeeze Mwa! mwa! mwa!
Haters How Are You ?

#WeAreTheArsenal💪💪 

#Arsenal #ManCity #Delete #NewLiv #Chelsea #Kitende.

@andrewkabuura @bruno_KUg @fsnakazibwe @DiabloGooner @Gunnersc0m @tete_sanra @BukayoSaka87 https://t.co/Cs0fSFC8MX",McPOfficial1,0,0
2023-02-05 03:02:20+00:00,1.62207E+18,"❤️100ft x 100ft available for sale in 
📌 Located in Kaga via #Kitende on #Entebbe road near Zion estate.
📌Power and water available on ground.And ready private Mailo land title.
📌Selling price #50m Ugx.
📌For inspection contact 0706592177 https://t.co/1KQPYEY4uL",shukranproperty,5,2
2023-01-31 18:03:03+00:00,1.62048E+18,"House available for sale at #Kitende on #Entebbe road #500metres from the main road with #5bedrooms all self contained, seating, dining, kitchen and guard's quarter on #20decimals mailo land with title at  #950millions negotiable.
Call or what's app no
+256756873001
+256775121060 https://t.co/YZq2JijpGd",KaketoMark,1,0
2023-01-19 09:30:20+00:00,1.61601E+18,Visit ST Mary's Stadium #kitende @VipersSC .. fresh air 💯 https://t.co/X9OX61BUy7,EngKavumaivan,72,7
2022-12-08 16:00:11+00:00,1.60088E+18,"Dear @UmemeLtd, I fear darkness!🙁🥺🥺😥
#Kitende",HatmahSsekaaya,13,0
2022-12-07 13:32:30+00:00,1.60048E+18,"Goal Number 2 For @VipersSC  Scored By @AKWatambala 
#Kitende
#VIPOND 2-0
#OneTeamOneDream
@SMASK_School 
https://t.co/HUTonfcyUv https://t.co/OvAgLr7fdH",FansVipers,5,0
2022-12-07 13:31:03+00:00,1.60048E+18,"Goal Number 2 For @VipersSC  Scored By @AKWatambala 
#Tuli #Kitende
#VIPOND 2-0
@SMASK_School 
https://t.co/5BZVAyb6Ne https://t.co/UfQSOMaEFx",BukenyaMagidu,2,0
2022-12-07 10:50:02+00:00,1.60044E+18,"Game Day
#Kitende
@UPL

@VipersSC Vs @OnduparakaFC1 
@SMASK_School 
@FansVipers
https://t.co/HUToneUXvV https://t.co/RwhZKd5mEW",FansVipers,3,0
2022-11-29 11:59:47+00:00,1.59756E+18,"Tuli #Kitende
@VipersSC  Vs @SCVillaJogoo https://t.co/F8GUwYsBkV",BukenyaMagidu,0,0
2022-11-28 05:55:45+00:00,1.59711E+18,"Jemuli
Enkya Mu @UPL  Tuli #Kitende
@VipersSC Vs @SCVillaJogoo https://t.co/O2gG9H4nVM",FansVipers,14,2
